node_id,consensus_module,mean_within,median_within,sd_within
PYO_28,3,0.17205479452054795,0.17,0.023656036586272872
PYO_29,3,0.17068493150684932,0.175,0.02577028689117715
PYO_34,3,0.18746575342465754,0.185,0.027030374988037287
PYO_35,3,0.1878082191780822,0.19,0.0250691585276536
PYO_40,3,0.1860958904109589,0.185,0.02899049862721388
PYO_42,3,0.18815068493150686,0.185,0.024502081109387824
PYO_46,3,0.17876712328767122,0.18,0.026520181281821965
PYO_48,3,0.2036986301369863,0.205,0.02843153810838456
PYO_55,3,0.178013698630137,0.175,0.022341101354706037
PYO_58,3,0.1815068493150685,0.18,0.02226240184186435
PYO_59,3,0.17363013698630136,0.175,0.023793969152634657
PYO_60,3,0.18821917808219177,0.19,0.025185007982783055
PYO_63,3,0.17924657534246574,0.18,0.02356538234472915
PYO_65,3,0.1878082191780822,0.185,0.02966229253064429
PYO_67,3,0.18047945205479451,0.18,0.027653164169484743
PYO_70,3,0.17431506849315068,0.175,0.02760478859039213
PYO_71,3,0.1865068493150685,0.185,0.024575350843924457
PYO_73,3,0.1780821917808219,0.175,0.027520574840904404
PYO_82,3,0.17513698630136987,0.175,0.024565284373420797
PYO_83,3,0.17657534246575343,0.175,0.02143913724439176
PYO_85,3,0.19301369863013698,0.195,0.02688374826642221
PYO_90,3,0.18787671232876713,0.19,0.026847276504475506
FG_072,4,0.1865625,0.185,0.02796571323998865
FG_079,4,0.19770833333333332,0.2,0.026051469786063597
FG_107,4,0.203125,0.2,0.026749925432387616
FG_112,4,0.19322916666666667,0.1925,0.023166593320971703
FG_123,4,0.18583333333333332,0.1825,0.026962016886908313
FG_125,4,0.1975,0.1925,0.028934996847298798
FG_133,4,0.1834375,0.185,0.02503521456039685
FG_139,4,0.19520833333333334,0.195,0.02500974987184962
FG_143,4,0.19989583333333333,0.2,0.019364630604267054
FG_145,4,0.2025,0.2,0.024516603145363226
FG_152,4,0.19395833333333334,0.2,0.024688664237742217
FG_157,4,0.20041666666666666,0.2,0.027363458576141777
FG_161,4,0.1925,0.1875,0.024732612633112064
FG_164,4,0.18739583333333334,0.19,0.022993745295080477
FG_169,4,0.189375,0.185,0.02610586059578976
FG_175,4,0.18770833333333334,0.19,0.02473171650772424
FG_060,4,0.19197916666666667,0.19,0.02904031649740587
FG_061,4,0.1815625,0.185,0.028660823769545356
FG_062,4,0.19791666666666666,0.2,0.02818693928221528
FG_065,4,0.191875,0.195,0.029056529642984157
FG_097,4,0.19,0.19,0.025495097567963924
FG_008,4,0.1896875,0.19,0.03049949860069206
FG_010,4,0.1834375,0.1825,0.02554004469414107
FG_012,4,0.1871875,0.1875,0.03050821741412031
FG_016,4,0.1815625,0.18,0.029717754740365407
FG_027,4,0.19104166666666667,0.19,0.023811277797602757
FG_028,4,0.18541666666666667,0.185,0.030506946075693122
FG_029,4,0.18833333333333332,0.19,0.0262016187037182
FG_033,4,0.2071875,0.205,0.02492341994394284
FG_036,4,0.19010416666666666,0.19,0.024678562997695094
PYO_02,4,0.19052083333333333,0.185,0.024802187260558318
PYO_05,4,0.19802083333333334,0.195,0.028448153350929727
PYO_10,4,0.1859375,0.185,0.025737137874236263
PYO_11,4,0.18875,0.19,0.026082928304470922
PYO_16,4,0.20083333333333334,0.2,0.021960635317451523
PYO_17,4,0.18833333333333332,0.185,0.024152294576982394
PYO_19,4,0.18104166666666666,0.185,0.024385170182360735
PYO_26,4,0.19666666666666666,0.2,0.024393348703958376
PYO_32,4,0.19666666666666666,0.1975,0.02550205109259014
PYO_44,4,0.18833333333333332,0.19,0.026684391272589533
PYO_49,4,0.1840625,0.185,0.027611596584722276
PYO_51,4,0.19635416666666666,0.2,0.023149366595197916
PYO_56,4,0.17364583333333333,0.1725,0.026371720494574705
PYO_57,4,0.18697916666666667,0.19,0.024050911942132817
PYO_64,4,0.18708333333333332,0.185,0.033799051562504276
PYO_72,4,0.18885416666666666,0.1925,0.024802187260558318
PYO_74,4,0.1953125,0.2,0.029560724554215725
PYO_87,4,0.19072916666666667,0.19,0.027656509820673195
PYO_91,4,0.17989583333333334,0.18,0.026123470805969762
