pyo_id,original_pyov_id,syn_groups,syn_group
PYO_58,113,113;114;115;116;117;118;119;120,115
PYO_58,113,113;114;115;116;117;118;119;120,116
PYO_58,113,113;114;115;116;117;118;119;120,117
PYO_58,113,113;114;115;116;117;118;119;120,118
PYO_58,113,113;114;115;116;117;118;119;120,119
PYO_58,113,113;114;115;116;117;118;119;120,120
PYO_59,114,113;114;115;116;117;118;119;120,113
PYO_59,114,113;114;115;116;117;118;119;120,114
PYO_59,114,113;114;115;116;117;118;119;120,115
PYO_59,114,113;114;115;116;117;118;119;120,116
PYO_59,114,113;114;115;116;117;118;119;120,117
PYO_59,114,113;114;115;116;117;118;119;120,118
PYO_59,114,113;114;115;116;117;118;119;120,119
PYO_59,114,113;114;115;116;117;118;119;120,120
PYO_60,115,113;114;115;116;117;118;119;120,113
PYO_60,115,113;114;115;116;117;118;119;120,114
PYO_60,115,113;114;115;116;117;118;119;120,115
PYO_60,115,113;114;115;116;117;118;119;120,116
PYO_60,115,113;114;115;116;117;118;119;120,117
PYO_60,115,113;114;115;116;117;118;119;120,118
PYO_60,115,113;114;115;116;117;118;119;120,119
PYO_60,115,113;114;115;116;117;118;119;120,120
PYO_61,116,113;114;115;116;117;118;119;120,113
PYO_61,116,113;114;115;116;117;118;119;120,114
PYO_61,116,113;114;115;116;117;118;119;120,115
PYO_61,116,113;114;115;116;117;118;119;120,116
PYO_61,116,113;114;115;116;117;118;119;120,117
PYO_61,116,113;114;115;116;117;118;119;120,118
PYO_61,116,113;114;115;116;117;118;119;120,119
PYO_61,116,113;114;115;116;117;118;119;120,120
PYO_62,117,113;114;115;116;117;118;119;120,113
PYO_62,117,113;114;115;116;117;118;119;120,114
PYO_62,117,113;114;115;116;117;118;119;120,115
PYO_62,117,113;114;115;116;117;118;119;120,116
PYO_62,117,113;114;115;116;117;118;119;120,117
PYO_62,117,113;114;115;116;117;118;119;120,118
PYO_62,117,113;114;115;116;117;118;119;120,119
PYO_62,117,113;114;115;116;117;118;119;120,120
PYO_63,118,113;114;115;116;117;118;119;120,113
PYO_63,118,113;114;115;116;117;118;119;120,114
PYO_63,118,113;114;115;116;117;118;119;120,115
PYO_63,118,113;114;115;116;117;118;119;120,116
PYO_63,118,113;114;115;116;117;118;119;120,117
PYO_63,118,113;114;115;116;117;118;119;120,118
PYO_63,118,113;114;115;116;117;118;119;120,119
PYO_63,118,113;114;115;116;117;118;119;120,120
PYO_64,119,113;114;115;116;117;118;119;120,113
PYO_64,119,113;114;115;116;117;118;119;120,114
PYO_64,119,113;114;115;116;117;118;119;120,115
PYO_64,119,113;114;115;116;117;118;119;120,116
PYO_64,119,113;114;115;116;117;118;119;120,117
PYO_64,119,113;114;115;116;117;118;119;120,118
PYO_64,119,113;114;115;116;117;118;119;120,119
PYO_64,119,113;114;115;116;117;118;119;120,120
PYO_65,120,113;114;115;116;117;118;119;120,113
PYO_65,120,113;114;115;116;117;118;119;120,114
PYO_65,120,113;114;115;116;117;118;119;120,115
PYO_65,120,113;114;115;116;117;118;119;120,116
PYO_65,120,113;114;115;116;117;118;119;120,117
PYO_65,120,113;114;115;116;117;118;119;120,118
PYO_65,120,113;114;115;116;117;118;119;120,119
PYO_65,120,113;114;115;116;117;118;119;120,120
PYO_66,216,216,216
PYO_67,218,218;219;220;221;222;223,218
PYO_67,218,218;219;220;221;222;223,219
PYO_67,218,218;219;220;221;222;223,220
PYO_67,218,218;219;220;221;222;223,221
PYO_67,218,218;219;220;221;222;223,222
PYO_67,218,218;219;220;221;222;223,223
PYO_68,219,218;219;220;221;222;223,218
PYO_68,219,218;219;220;221;222;223,219
PYO_68,219,218;219;220;221;222;223,220
PYO_68,219,218;219;220;221;222;223,221
PYO_68,219,218;219;220;221;222;223,222
PYO_68,219,218;219;220;221;222;223,223
PYO_69,220,218;219;220;221;222;223,218
PYO_69,220,218;219;220;221;222;223,219
PYO_69,220,218;219;220;221;222;223,220
PYO_69,220,218;219;220;221;222;223,221
PYO_69,220,218;219;220;221;222;223,222
PYO_69,220,218;219;220;221;222;223,223
PYO_70,221,218;219;220;221;222;223,218
PYO_70,221,218;219;220;221;222;223,219
PYO_70,221,218;219;220;221;222;223,220
PYO_70,221,218;219;220;221;222;223,221
PYO_70,221,218;219;220;221;222;223,222
PYO_70,221,218;219;220;221;222;223,223
PYO_71,222,218;219;220;221;222;223,218
PYO_71,222,218;219;220;221;222;223,219
PYO_71,222,218;219;220;221;222;223,220
PYO_71,222,218;219;220;221;222;223,221
PYO_71,222,218;219;220;221;222;223,222
PYO_71,222,218;219;220;221;222;223,223
PYO_72,223,218;219;220;221;222;223,218
PYO_72,223,218;219;220;221;222;223,219
PYO_72,223,218;219;220;221;222;223,220
PYO_72,223,218;219;220;221;222;223,221
PYO_72,223,218;219;220;221;222;223,222
PYO_72,223,218;219;220;221;222;223,223
PYO_73,228,228;229;230,228
