source,target,source_type,target_type,edge_type
PYO_16,FG_015,pyoverdine,functional_group,utilization
PYO_17,FG_015,pyoverdine,functional_group,utilization
PYO_18,FG_015,pyoverdine,functional_group,utilization
PYO_19,FG_015,pyoverdine,functional_group,utilization
PYO_20,FG_015,pyoverdine,functional_group,utilization
PYO_32,FG_015,pyoverdine,functional_group,utilization
PYO_33,FG_015,pyoverdine,functional_group,utilization
PYO_34,FG_015,pyoverdine,functional_group,utilization
PYO_35,FG_015,pyoverdine,functional_group,utilization
PYO_36,FG_015,pyoverdine,functional_group,utilization
PYO_37,FG_015,pyoverdine,functional_group,utilization
PYO_38,FG_015,pyoverdine,functional_group,utilization
PYO_39,FG_015,pyoverdine,functional_group,utilization
PYO_40,FG_015,pyoverdine,functional_group,utilization
PYO_41,FG_015,pyoverdine,functional_group,utilization
PYO_42,FG_015,pyoverdine,functional_group,utilization
PYO_43,FG_015,pyoverdine,functional_group,utilization
PYO_44,FG_015,pyoverdine,functional_group,utilization
PYO_45,FG_015,pyoverdine,functional_group,utilization
PYO_50,FG_015,pyoverdine,functional_group,utilization
PYO_51,FG_015,pyoverdine,functional_group,utilization
PYO_52,FG_015,pyoverdine,functional_group,utilization
PYO_12,FG_016,pyoverdine,functional_group,utilization
PYO_13,FG_016,pyoverdine,functional_group,utilization
PYO_14,FG_016,pyoverdine,functional_group,utilization
PYO_15,FG_016,pyoverdine,functional_group,utilization
PYO_16,FG_016,pyoverdine,functional_group,utilization
PYO_17,FG_016,pyoverdine,functional_group,utilization
PYO_18,FG_016,pyoverdine,functional_group,utilization
PYO_19,FG_016,pyoverdine,functional_group,utilization
PYO_20,FG_016,pyoverdine,functional_group,utilization
PYO_32,FG_016,pyoverdine,functional_group,utilization
PYO_33,FG_016,pyoverdine,functional_group,utilization
PYO_34,FG_016,pyoverdine,functional_group,utilization
PYO_35,FG_016,pyoverdine,functional_group,utilization
PYO_36,FG_016,pyoverdine,functional_group,utilization
PYO_37,FG_016,pyoverdine,functional_group,utilization
PYO_38,FG_016,pyoverdine,functional_group,utilization
PYO_39,FG_016,pyoverdine,functional_group,utilization
PYO_40,FG_016,pyoverdine,functional_group,utilization
PYO_41,FG_016,pyoverdine,functional_group,utilization
PYO_42,FG_016,pyoverdine,functional_group,utilization
PYO_43,FG_016,pyoverdine,functional_group,utilization
PYO_44,FG_016,pyoverdine,functional_group,utilization
PYO_45,FG_016,pyoverdine,functional_group,utilization
